,Marka,Model,EAN,RAM,Flash,SIMM,Kolor,mgsm,source
994,Philips,Xenium E168,8712581749149,null,32 MB,2,null,https://www.mgsm.pl/pl/katalog/Philips/XeniumE168/,https://www.euro.com.pl/telefony-komorkowe/philips-telefon-komorkowy-xenium-e168-philips.bhtml#afterSearch-8712581749149||||product
995,Alcatel,3C Dual SIM,4894461752617,1 GB,16 GB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/3CDualSIM/,https://www.euro.com.pl/telefony-komorkowe/alcatel-3c-dual-sim-5026d-czarny.bhtml#afterSearch-4894461752617||||product
996,Alcatel,3C Dual SIM,4894461752631,1 GB,16 GB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/3CDualSIM/,https://www.euro.com.pl/telefony-komorkowe/alcatel-3c-dual-sim-5026d-zloty.bhtml#afterSearch-4894461752631||||product
997,MaxCom,Classic MM236,5908235974071,null,null,null,null,https://www.mgsm.pl/pl/katalog/MaxCom/ClassicMM236/,null
998,MaxCom,Classic MM236,5908235974088,null,null,null,null,https://www.mgsm.pl/pl/katalog/MaxCom/ClassicMM236/,null
999,TP-Link,Neffos Y5s,6935364083489,null,null,null,null,https://www.mgsm.pl/pl/katalog/TP-Link/NeffosY5s/,null
1000,Panasonic,KX-TU329,5025232855087,poniżej 512 MB,null,1,null,null,https://www.euro.com.pl/telefony-komorkowe/kruger-matz-kx-tu329-czarny.bhtml#afterSearch-5025232855087||||product
1001,Umidigi,S2 Lite,6970543491532,null,null,null,null,https://www.mgsm.pl/pl/katalog/Umidigi/S2Lite/,null
1002,Meizu,M6s,6937520023520,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Meizu/M6s/,https://www.euro.com.pl/telefony-komorkowe/meizu-m6s-32gb-niebieski.bhtml#afterSearch-6937520023520||||product
1003,Meizu,M6s,6937520023421,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Meizu/M6s/,https://www.euro.com.pl/telefony-komorkowe/meizu-m6s-32gb-czarny.bhtml#afterSearch-6937520023421||||product
1004,Meizu,M6s,6937520023223,3 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Meizu/M6s/,https://www.euro.com.pl/telefony-komorkowe/meizu-m6s-32gb-zloty.bhtml#afterSearch-6937520023223||||product
1005,Alcatel,5,4894461767291,3 GB,32 GB,1,null,https://www.mgsm.pl/pl/katalog/Alcatel/5/,https://www.euro.com.pl/telefony-komorkowe/alcatel-5-czarny.bhtml#afterSearch-4894461767291||||product
1006,Ulefone,Power 3S,6937748732273,null,null,null,null,https://www.mgsm.pl/pl/katalog/Ulefone/Power3S/,null
1007,Doogee,S50,5901801903581,null,null,null,null,https://www.mgsm.pl/pl/katalog/Doogee/S50/,null
1008,Doogee,S50,5901801903598,null,null,null,null,https://www.mgsm.pl/pl/katalog/Doogee/S50/,null
1009,Doogee,S50,5901801903567,null,null,null,null,https://www.mgsm.pl/pl/katalog/Doogee/S50/,null
1010,Doogee,X60L,5901801903314,2 GB,16 GB,2,null,https://www.mgsm.pl/pl/katalog/Doogee/X60L/,https://www.euro.com.pl/telefony-komorkowe/doogee-smartfon-x60l-black.bhtml#afterSearch-5901801903314||||product
